;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p22+p31
a4=p11+p21+p31+n11
[Data]
a 一
abxj 下坡路
abxp 一块钱
abxr 一块儿
abyb 下功夫
abyb 一场场
abyd 副教授
abyd 一起抓
abyi 一起上
abyj 烈士陵园
abyn 开场白
abys 开工建设
abys 再教育
abyw 一走了之
abyw 一场空
abzf 歼击机
abzi 万元以上
abzo 平均收入
abzx 残垣断壁
ac 平静
acab 可耻下场
acak 天王星
acam 天王星
acan 无毒副作用
acay 万寿无疆
acbb 可耕地
acbm 开玩笑
acbr 天长地久
acby 天王老子
acc ㏄
acct 无理取闹
acda 两三天
acda 一环扣一环
acdc 副理事长
acdl 万寿山
acga 无毒不丈夫
acgt 两耳不闻窗外事
acgw 天理不容
achd 更长的
achs 天长市
acid 可耻的
aciw 更丰富
ackk 天理昭昭
ackr 天长日久
acmk 一碧千里
acod 一表人才
acox 一班人马
acqd 平静的
acra 正三角形
acrf 列表框
acru 无表情
acsm 无理方程
acss 无耻谰言
acuh 末班车
acuo 一班人
acvt 干球温度
acwg 无耻之尤
acwo 无耻之徒
acww 天王补心丹
acxd 可取的
acxw 天理难容
aczm 下毒手
ad 于
adad 一拖再拖
adaf 无拘无束
adag 再接再厉
adah 一事无成
adah 百事无成
adam 万事万物
adar 百事可乐
adat 万事开头难
adaw 于事无补
adbo 形势喜人
adbz 可持续
adcn 刑事责任
addr 刑事拘留
adea 亚的斯亚贝巴
adeu 下拉菜单
adfx 天打雷劈
adga 开拓型
adgb 万事大吉
adgb 开拓者
adgc 干扰素
adgd 百折不挠
adgg 百挑不厌
adgi 一拥而上
adgj 百折不回
adgk 一扫而光
adgs 一挥而就
adgw 一扫而空
adgx 无事不登三宝殿
adir 于此
adiv 于上
adjn 可操作
adjw 万事通
adjw 百事通
adjw 刑事案
adkd 一排排
adkn 可提供
adkv 于是
adky 一揽子
adky 一寸光阴一寸金
adl 盂
adlk 盂
adlz 盂县
admk 无事生非
admp 一掷千金
adnd 一损俱损，一荣俱荣
adnr 万事俱备
adnr 万事俱备，只欠东风
adnu 可操作性
adod 于人
ados 于今
ados 开拓创新
adpm 可拆卸
adpu 可接受性
adqa 形势下
adqe 亚热带
adqe 副热带
adqk 正投影
adql 刑事犯罪
adqm 一投手
adqy 恶势力
adrd 一批批
adrl 刑事处罚
adsb 开拓市场
adsg 一捅就破
adsm 无的放矢
adss 刑事诉讼法
adsv 可撤消
aduq 于前
aduw 开拓精神
advf 可的松
advn 可撤消信用证
advo 刑事法律
advt 刑事法庭
advv 于
adw 迂
adwc 一技之长
adwc 开拓进取
adwg 可控硅
adwn 刑事案件
adwo 形势逼人
adwz 于心
adxo 一拍即合
ady 邘
adyd 一把把
adyd 一把抓
adyh 于民
adym 一把手
adyu 一把火
adyv 一把汗
adyy 于己
adzn 可持续化
adzs 万事如意
adzx 开拓发展
adzx 形势发展
adzz 可持续发展
adzz 可持续发展战略
ae 开
aeaf 一草一木
aeah 天真无邪
aeam 正直无私
aear 干裂
aear 开裂
aear 一朝一夕
aear 与世无争
aeau 开平
aeb 型
aebb 开封
aebb 天荒地老
aebb 下载地址
aebb 瓦莱塔
aebg 开坯
aebh 开城
aebi 开工
aebi 开赴
aebk 开来
aebk 开示
aebl 下载工具
aebm 开埠
aebm 一期工程
aebo 开走
aebr 开元
aebt 天南地北
aebx 形声
aebx 下基层
aeby 开场
aeby 刑场
aebz 开动
aecc 万古长青
aecd 开球
aecg 万古长存
aeck 开泰
aecm 与世长辞
aeco 开春
aecs 与其说
aecu 开班
aed 干
aeda 开打
aedc 副董事长
aedg 干扰
aedg 开拓
aedg 开拔
aedi 干掉
aedj 刑事
aedj 干事
aedn 开拍
aedp 开播
aedq 形势
aedr 刑拘
aedv 干的
aedw 开挖
aedx 开据
aedx 开掘
aeeh 刊载
aeek 开幕
aeek 干草
aeen 开花
aeen 干花
aeeo 干革命
aeep 干菜
aeeq 刑期
aeer 干警
aeer 刑警
aees 开荒
aeet 麉
aeew 开荤
aeex 开支
aeex 干支
aeez 开药
aefa 开本
aefa 刊本
aefb 开票
aefb 开标
aefd 型材
aefe 干枯
aeff 开禁
aefg 干杯
aefl 形相
aefo 开枪
aefp 型板
aefq 开机
aefq 丁苯橡胶
aefr 干酪
aefs 干校
aeg 顸
aegk 下落不明
aegl 干布
aegn 开原
aego 干爽
aego 顸
aego 頇
aegs 形态
aegt 开矿
aegu 天若有情天亦老
aegx 形码
aegy 刑警大队
aeha 百花盛开
aehb 形式
aehe 开车
aehe 开戒
aehk 开到
aehl 万载县
aehm 干戈
aehv 形成
aeib 武警战士
aeij 开战
aeik 开步
aeir 干柴
aeir 干些
aeix 开颅
aeja 型号
aeja 开口
aeja 刊号
aejb 开园
aejc 开国
aejh 干呕
aejl 死胡同
aejo 干啥
aejr 开路
aejr 干路
aejs 干咳
aejt 干嘛
aejw 开恩
aejx 干吗
aejy 干吼
aejy 干吧
aek 刊
aeka 干旱
aeka 开题
aekb 型
aekd 刊
aekd 刑
aeke 一幕幕
aekf 干果
aekg 开光
aekg 百慕大
aekh 开幕式
aekl 开敞
aekl 开映
aekm 开幕辞
aekq 开明
aekq 开胃
aeks 形影
aeks 开幕词
aeku 开业
aeku 开凿
aekv 开水
aeld 形同
aelf 残花败柳
aelg 一直在
aelk 开罪
aelk 一直是
aelk 天南星
aell 开山
aelo 开具
aelo 刑具
aelo 干贝
aelr 开罗
aels 刑罚
aels 形骸
aelv 刊用
aelw 开幕典礼
aelx 开眼
aelz 开县
aema 一落千丈
aemb 干等
aeme 百卉千葩
aemj 政协委员
aeml 形制
aemm 干笑
aemm 开年
aemm 万古千秋
aemn 豆蔻年华
aemo 攼
aemr 刊物
aemw 开篇
aemy 开筵
aemy 天花乱坠
aemz 干系
aena 干仗
aene 开花期
aenf 形体
aenf 干休
aenf 天花板
aeni 刑侦
aeni 雃
aenj 开向
aenk 干白
aenk 无花果
aenm 万花筒
aeno 开价
aenr 形像
aenr 干货
aenr 开化
aent 百花奖
aenu 开伙
aenu 天花粉
aenz 形似
aeoa 开征
aeoa 无期徒刑
aeob 开会
aeoj 政协全国委员会
aeok 干得
aeoo 干爹
aeop 开饭
aeop 干饭
aeor 干馏
aeos 开往
aeow 开馆
aeox 刑律
aeoy 开创
aep 形
aepd 形
aepf 开采
aepi 开钻
aepj 开锅
aepk 开销
aepk 开锁
aepl 开盘
aepl 型钢
aepn 形貌
aepq 开船
aeps 开航
aeps 开镜
aept 开镰
aepx 开释
aeqk 开膛
aeqq 干股
aeqr 干脆
aeqr 开胸
aeqs 开胶
aequ 开脱
aeqw 开腔
aeqy 干犯
aera 刊印
aerc 百花争艳
aeri 开外
aerj 形象
aerj 刊名
aerk 开鲁
aerl 开解
aeru 干鲜
aerx 干急
aery 形色
aerz 鳱
aerz 鳽
aesb 开讲
aesb 列支敦士登
aesg 开斋
aesj 干部
aesj 刑部
aesk 开课
aesk 形音
aesk 与其说是
aesl 开端
aesl 开市
aesm 开放
aesm 开颜
aesq 开设
aess 百花齐放
aesu 形旁
aesu 开立
aesw 一劳永逸
aesx 开朗
aesx 形变
aesy 开方
aesy 刑讯
aesy 武警部队
aetb 开阖
aete 开席
aetg 形状
aetg 开头
aeti 开店
aetk 干冰
aetk 开闸
aetl 开门
aetn 干瘦
aetn 干瘪
aeto 干冷
aetr 干净
aetr 开奖
aetr 干将
aetu 下载次数
aetv 开阔
aety 开庭
aeua 开灯
aeue 开瓶
aeug 开关
aeug 开怀
aeuh 干烧
aeuj 干燥
aeuk 开单
aeul 开着
aeul 覝
aeum 干性
aeun 刊首
aeuo 开火
aeuo 干粉
aeuo 烎
aeuo 两世为人
aeur 开炮
aeus 干粮
aeuv 天真烂漫
aeuw 开炉
aeuy 开卷
aeuz 干姜
aeva 开河
aevb 刑法
aevb 开江
aeve 开满
aeve 万古流芳
aeve 百世流芳
aeve 万世流芳
aevg 开源
aevg 一直没有
aevh 干渠
aevi 干涉
aevj 干涸
aevk 干渴
aevm 干活
aevm 干洗
aevr 开溜
aevs 干流
aevs 开滦
aevt 天南海北
aevv 天真活泼
aevv 与世沉浮
aevv 开
aevw 开学
aevw 开演
aevx 开涮
aevy 干涩
aew 迀
aewb 开窍
aewb 开远
aewb 干完
aewb 开进
aewc 开豁
aewd 干过
aewd 开过
aewe 开赛
aewh 干连
aewi 一朝被蛇咬，十年怕井绳
aewj 开启
aewk 形神
aewk 百世之师
aewm 开户
aewm 哥斯达黎加
aewn 开窗
aewo 形容
aews 开房
aews 形迹
aewu 开道
aewu 干道
aeww 开遍
aewx 开通
aewy 开初
aewz 开心
aexa 刊登
aexb 干劲
aexb 开垦
aexe 开展
aexe 一支支
aexj 开辟
aexj 干群
aexm 干尸
aexs 开叉
aexu 一支烟
aexx 干预
aexy 开局
aey 邢
aey 邗
aeyc 开张
aeyd 开导
aeyd 开刀
aeye 哥萨克
aeyi 干巴
aeyj 干架
aeyj 开架
aeyk 开阳
aeyo 开除
aeyo 开办
aeys 开刃
aeyv 开了
aeyx 开建
aeyy 刑戮
aeyz 与世隔绝
aezb 干红
aezb 干结
aezb 一直以来
aezh 干线
aezh 干练
aezh 开练
aezh 开线
aezj 形如
aezj 邢台
aezk 开花结果
aezs 干娘
aezv 开发
aezv 刊发
aezw 开编
aezw 干缩
aezw 下世纪初
aezx 干妈
aezy 干好
aezy 开好
aezz 开始
aezz 开出
aezz 干出
aezz 刊出
af 末
afad 无权无势
afaf 一模一样
afal 一板一眼
afam 一本万利
afam 无机可乘
afau 残酷无情
afax 一本书
afaz 一本正经
afbb 平整土地
afbe 天覆地载
afbk 副标题
afbu 瓦杜兹
afbz 干酵母
afcc 平板玻璃
afdk 严格按照
afdm 严格控制
afdo 严格执行
afdu 严格把关
afea 一柱擎天
afee 夏枯草
afee 一枝花
afeq 末期
afev 末世
afev 一枕黄粱
afey 末节
affd 严格要求
affe 无霜期
affk 末梢
afga 天机不可泄露
afgm 可想而知
afgs 一概而论
afgv 一杯酒
afgy 死要面子
afje 末叶
afjf 哥本哈根
afjg 一整套
afjr 末路
afjr 唜
afka 末日
afkf 一棵棵
afkj 丁零当啷
aflv 画栋雕梁
afly 瓦楞子
afmc 严格管理
afmd 残酷的
afmf 一枚枚
afmm 末年
afmq 丙酰胺
afng 末伏
afnh 末代
afno 无机化合物
afns 末位
afnv 无机化学
afof 亚松森
afon 两极分化
afoo 膥
afpa 末后
afph 平板车
afqb 无机盐
afqk 无机界
afqm 一枝独秀
afqm 无机物
afqu 无机肥料
afrd 末儿
afrd 严格的
afrz 瓦格纳
afsc 副校长
afsl 末端
afsn 一醉方休
afsn 无核化
afsy 武术队
afte 末席
aftf 一桩桩
afto 末座
aftr 残酷斗争
aftr 残杯冷炙
afug 两相情愿
afv 末
afvs 末流
afvv 正本清源
afvv 末
afwf 无本之木
afwf 恶梦初醒
afwt 无权过问
afww 严格遵守
afwz 末梢神经
afxe 一木难支
afxf 一根根
afxm 末尾
afya 末子
afyd 一棍子打死
afyl 天极网
afym 严格限制
afyv 末了
ag 无
aga 一而再，再而三
